"","Title","Author","Content","Comments_No","Upvote_Percentage"
"37","Viewers wonder why this hit song of 2020 did not win as many awards as expected"," KayRosa","(Chart above: [Rap/Hip Hop Category] Purple - Zico's ""Any Song"" / Orange - DAMOIM's ""Immado"" / Green - Jessi's ""NUNU NANA"" / Blue - BTS's ""Dynamite"" / Red - Sik-K, pH-1, Jay Park, HAON - ""GANG"" (Official Remix))



Viewers are wondering why this particular song did not win as many awards than expected.



Any song come to mind? Currently, netizens are talking about Zico's ""Any Song"" and how its superb records this year on music charts have not earned its recognition in award shows.





On an online community forum, a netizen noted that this song was ""#1 in the comprehensive chart out of all the songs this year,"" and yet it only won an award as part of the 'Top 10' on '2020 Melon Music Awards'. The netizen also wrote, ""I understand how BTS can win Daesang because there's the critics' component. But, how can it not win in the hip-hop category?""









Among the netizens, another debate arose in which why BTS's ""Dynamite"" was not the recipient in the same category, as neither ""Any Song"" nor ""Dynamite"" but ""Immado"" by DAMOIM took the honor. While some stated that ""Dynamite"" deserved the win even in that category against ""Any Song"", others argued that Zico's song was clearly the projected winner based on the category's yearly chart.



With BTS's ""Dynamite"" setting a new record on 'Melon' as the longest-running #1 song in a row, the debate ultimately became one that questioned whether the song should receive specific recognition within the hip-hop category as well as the Daesang.





On the other hand, while Zico's ""Any Song"" did win in the Hip Hop & Urban Music category in '2020 MAMA', netizens are still wondering why it still has not yet received a wider recognition in award shows overall. What are your thoughts?



","65","73%"
"38","Netizens think that a veteran and legendary artist should be presenting the grand awards not random actors"," AmieAmore","The year-end is adorned with any music award ceremonies in which artists are given awards and recognition for their hard work for that year. As the year 2020 comes to an end, many netizens have been giving their opinion over who should be presenting the awards at the music award ceremonies.



Previously, there was a controversy over the 2020 Mnet Asian Music Awards as actors and actresses invited to present the awards were given waiting rooms with catering while the artists had to wait in their cars in the parking lot. 



Since then, Korean netizens have raised their voices to give an opinion that the grand prize should be presented by veteran and legendary artists. There were instances in which veteran and legendary singers presented the grand award such as the 2017 Melon Music Awards and the 2019 Mnet Asian Music Awards.



During the 2017 MAMA in Japan, TWICE was presented the 'Song of the Year' by BoA.

During the 2017 Melon Music Awards, S.E.S member Eugene presented the 'Year's Best Song' which was one of the three grand prizes to BTS. 

Then in 2019, BTS had the honor of being presented the grand prize at the 2019 MAMA by the legendary singer-songwriter Shin Seung Hoon.

Likewise, many netizens stated that the award ceremonies would be much more meaningful if the veteran and legendary artists were able to present the awards to their junior artists.



Netizens commented in an online community, ""I totally agree, I never understood by actors were invited to a music award ceremony to present the awards,"" ""They should invite the senior artists to give the award to the junior artists, that would be much more meaningful,"" ""That is so true,"" ""Last year, when BTS got the award from Shin Seung Hoon, I felt a flutter inside,"" ""Totally agree that artists giving the award to their junior is much more meaningful than actors who have no relation to them giving the award,"" and ""They need to have more singers present the award at music award ceremonies.""","17","84%"
"39","All members of ENHYPEN test negative for COVID19, to resume debut activities"," beansss","

On December 10, BeLift Lab confirmed that all members of ENHYPEN have tested negative for COVID19. 



Back on December 9, the members underwent voluntary testing after being informed that an outside staff member whom they worked with recently has tested positive for the virus. A day later, all of the members have tested negative, and so ENHYPEN will resume their debut promotions starting today. 



Meanwhile, ENHYPEN debuted back on November 30 with their 1st mini album 'Border: Day One' and their title track, ""Given Taken"".  ","4","85%"
"40","Seungri's close friend 'A' appears as a witness in 4th court hearing & gives testimony regarding prostitution solicitation charges"," beansss","

On December 9, former Big Bang member Seungri attended his 4th military court hearing session, facing a total of 8 criminal charges such as illegal gambling, violation of foreign money exchange laws, violation of food sanitation laws, solicitation of prostitution, etc. 



During this hearing, a close friend of Seungri 'A', also a member of Seungri's problematic Kakao chat room, appeared as a witness in front of the military court. 'A' was summoned to testify regarding matters related to Seungri's charges of soliciting prostitution, offering prostitution services, and violation of sexual assault laws. 



'A' admitted that they took part in guiding prostitutes to Japanese customers, but commented, ""I was ordered by Yoo In Suk (Seungri's former business partner),"" denying that Seungri played a role in the act. 



In addition, Seungri also requested a chance to ask his friend 'A' questions himself. The court approved Seungri's request, and Seungri was given the floor as he remarked, ""We have been friends for almost 10 years, so I find it unfortunate that we are meeting at a place like this... I offered 'A' assistance because 'A's dream was to become an actor. 'A's parents were also fond of me."" 



Seungri then recollected the events which took place shortly after the 'Burning Sun' news made headlines. According to Seungri, there was a significant amount of pressure from the police during the initial stages of questioning. 



Seungri then asked 'A' why they allowed the police to file reports which contradicted 'A's statements. 'A' responded that they also felt overwhelming pressure during the police questioning process, and admitted that some of the police's reported files contained content which 'A' disagreed with. 'A' then added on that they were too preoccupied with their own criminal charges to pay closer attention to Seungri's case. ","22","72%"
"41","(G)I-DLE to make a comeback next month"," beansss","

On December 9, Cube Entertainment confirmed news of girl group (G)I-DLE's comeback next month!

The ladies will be kicking off 2021 with a bang and are currently busy preparing for their new album release, expected for some time in mid-January. This will mark (G)I-DLE's first new music release in approximately 5 months, since the release of ""DUMDi DUMDi"". 



Look forward to even more updates on (G)I-DLE's first comeback of 2021!","17","81%"
"42","Former iLuv member Shin Minah sent to prosecution for spreading false information"," AmieAmore","Former iLuv member Shin Minah, who claimed she had been bullied by her group members, has been sent to prosecution for spreading false information.

On December 8th, iLuv's legal representative office revealed that Shin Minah was sent to the Seoul Central District Prosecutors' Office on charges of obstruction of business and violation of the Information and Communication Network Act by spreading false information. In addition, prosecution opinions were sent on defamation charges in violation of the Information and Communication Network Act as well.

Back in July, Shin Minah uploaded a video on her YouTube channel claiming that her group members bullied her during her time as a member of iLuv.



Later, it was revealed that she was rescued by the fire department after they received reports that a woman in her 20s was trying to jump from the Seongsan Bridge in Seoul. However, iLuv's agency countered that Shin Minah was spreading false information and filed a complaint against the former group member. iLuv members also filed a complaint against Shin Minah for spreading false information and defamation.Since then, Shin Minah has complained, ""The company commented saying that I am delusional and mythomaniac but I did not lie about anything and I don't have mythomania. I just don't want another victim like me to appear"" drawing attention to how this incident will conclude.","17","77%"
"43","Actor Lee Si Uhn departs from the cast of 'I Live Alone' after 5 years, denies marriage rumors"," beansss","

On December 9, actor Lee Si Uhn took to his personal Instagram to announce that he will be departing from the cast of MBC's 'I Live Alone' after 5 years. 



The actor commented, ""I plan on leaving 'I Live Alone' this year, after being on the program for 5 years. After a lengthy discussion with the production staff, I was able to relay my wishes to take some time to focus on my acting, and thus reached this conclusion. To me, 'I Live Alone' will always be full of unforgettable memories."" The actor thanked his fellow cast members, the production staff, as well as viewers and promised to return to the screen soon through various projects. 



Meanwhile, Lee Si Uhn's departure from 'I Live Alone' also spurred marriage rumors between Lee Si Uh and his girlfriend, actress Seo Ji Seung. Lee Si Uhn and Seo Ji Seung previously went public with their relationship back in February of 2018. According to the agencies of both stars, the couple is doing well, but the marriage rumors which sparked due to Lee Si Uhn's departure from 'I Live Alone' are false. 



Are you a fan of MBC's 'I Live Alone'?



","12","85%"
"44","ATEEZ and Stray Kids to join The Boyz as competing groups on Mnet's 'Kingdom'"," danisurst","Mnet has just dropped a big spoiler regarding the line-up of their boy group competition program 'Kingdom.'



According to multiple broadcasting officials, ATEEZ and Stray Kids have both confirmed their appearances on the upcoming program. The two groups are joining 'Road To Kingdom' winners The Boyz as the first confirmed line-up.



The three groups performed a special stage together as part of the 2020 'Mnet Asian Music Awards' on December 6 KST, which ended with a 'Kingdom'-themed final performance and a quick 'coming soon' teaser video.



Meanwhile, 'Kingdom' is the boy group version of August 2019's girl group survival program 'Queendom.' Earlier this year, 'Road to Kingdom,' a survival program focused around lesser known and more up-and-coming boy groups, was launched, with winners The Boyz earning a spot in 'Kingdom's line-up.



'Kingdom' was originally meant to begin airing in the second half of this year. However, because of COVID-19 related difficulties, production of the program was moved to the first half of 2021.



Stay tuned for more news about this exciting program, and watch the special stage below!","68","88%"
"45","Netizens find out that this idol has gone back to practice right after attending '2020 Mnet Asian Music Awards'"," KayRosa","

Netizens have found out that an idol had gone back to practice right after attending '2020 MAMA'. 



On December 6, the '2020 Mnet Asian Music Awards' took place in Seoul, Korea. At the end of the show, netizens found out that SHINee's Taemin had gone back to practice without a moment to spare, based on the back-up dancer/choreographer Kasper's Instagram post.





On his Instagram, Kasper uploaded a photo taken with Taemin, which was commented by another dancer who wrote, ""But can't we practice tomorrow?"". Kasper, who read the comment, agreed and replied, ""That's what I'm saying..^^"".







Even after performing for the opening stage, Taemin had gone back to practice with his dancers in the middle of the night! On a community forum site, a netizen suspected that Taemin had probably gone back to practice for the upcoming 'ABU Song Festival'. 



아시아 태평양 음악축제 ABU 송 페스티벌 🔸태민 출연❗️❗️❗️ 🔸일시: 12월 14일 오후 3시 온라인 생중계✔️한국에서는 KBS의 추천으로 샤이니 태민이 무대에 설 예정#태민 #TAEMIN #テミン @SHINee https://t.co/YZazA1uz3g pic.twitter.com/8kcWYR6mis





What did you think of Taemin's opening performance at the '2020 MAMA'?



","28","89%"
"46","Rain posts another ambiguous post on social media making netizens wonder if it's news about another baby or a false alarm"," AmieAmore","Singer Rain posted another ambiguous post on his social media, making netizens wonder if it's news of another baby. 



On December 7th, Rain posted a photo of himself with the caption ""Look forward to it!!!"" In the photo, Rain appears wearing a black jacket and a black face mask with curls in his hair. He caught netizens' attention as he seemed to be fully dolled up with eye makeup and color contact lenses.

Many fans were excited to see Rain's new image while some raised speculations of a third child.Earlier in October, Rain received a lot of attention when he posted a message on his Instagram saying, ""I have small news to share at 12 AM tomorrow."" After Rain made that announcement, many netizens began making speculations as to what that news might be. A few netizens speculated that actress Kim Tae Hee, Rain's wife, was pregnant with her third child as he used three fireworks emoticons in his post.However, Rain revealed the news of a new actor joining his agency, and not news about Kim Tae Hee's pregnancy. Two months after the small incident, netizens show a keen interest in the new announcement that Rain made through his social media account. Meanwhile, Rain has recently been communicating with fans through his YouTube channel 'Season B Season.' His channel is recently gaining popularity with about 900,000 subscribers.","13","74%"
"47","Critic Kim Young Dae talks about BTS's achievements being downplayed by the Korean media"," olmal","Critic Kim Young Dae talked about BTS's achievements being downplayed by the Korean media.



On December 4th, critic Kim Young Dae who wrote a book titled ""BTS The Review,"" appeared on Kim Eo Jun's YouTube channel. The critic candidly shared his thoughts on why and how BTS's achievements are being downplayed by the Korean media. ""Why do Korean reporters downplay BTS? I believe it's partly because of the cultural lag phenomenon and partly because the boys don't follow the usual 'success equation' where the idols rely heavily on the media for their success.""



He said his doubts changed to belief after BTS was nominated for the Best Pop Duo/Group Performance of this year's Grammys. ""Do you know what is weird? The media loved to report about Psy's 'Gangnam Style's success abroad though it ended up as a one-hit-wonder. I feel like there is a systemic bias against K-Pop idols. I even heard one representative of the media company say Grammy nomination proves their song 'Dynamite' was successful, but that does not necessarily prove the group's success.""



He continued, ""I believe the Korean traditional media outlets do not like how BTS became successful without their influence. The boys succeeded with the voluntary help and bond of the fans worldwide, unlike usual cases."" 



What do you think?","78","78%"
"48","Kim Seon Ho praises Nam Joo Hyuk's hard work and acting in an interview marking the end of 'Start-Up'"," beansss","

On December 10, actor Kim Seon Ho held a press interview to mark the end of his latest drama series, 'Start-Up'!



As many of you know, Kim Seon Ho has recently become of the most-talked-about stars among fans of dramas and variety shows, thanks to his lovable role as Han Ji Pyeong in 'Start-Up' as well as for his fun personality on '1 Night, 2 Days'. 



During this interview, Kim Seon Ho shared, ""We were able to wrap up the production happily thanks to the fact that everyone on set, the production crew, the cast, and all were really great people. I'm disappointed that it's the end. I'm sad that I won't be able to meet Han Ji Pyeong anymore. I was honored to be able to live as the character Han Ji Pyeong."" 



Next, Kim Seon Ho had nothing but compliments for his 'Start-Up' co-stars, Nam Joo Hyuk and Suzy. First, Kim Seon Ho commented, ""Actors always try their best to portray their characters realistically, but sometimes it doesn't always work. At times, you think, 'That was real' or 'That was probably realistic', and such and you hope that it comes across as real; at other times, it feels like you are just fulfilling the function of an actor. But I saw that Nam Joo Hyuk gives his all every moment, focussed on portraying his role realistically at all times, and watching him engrossed in his script and in his role on sleepless nights, I became confident that his hard work would no doubt produce the results he wanted.""



Kim Seon Ho continued, ""On top of that, he's got great sense and great ideas. Seeing Nam Joo Hyuk and what he's capable of, I reflected on my own career a lot. He was really a fantastic partner.""



Regarding Seo Dal Mi, played by none other than Suzy, Kim Seon Ho said, ""I'm sure many people are already aware, but Suzy is an incredible actress with excellent focus and skill. She is always focused and calm about her acting. But she also knows how to lead the mood on set, and so I enjoyed working with her.""



Finally, the actor sent a message to his fans, stating, ""I think that I was only able to come this far thanks to the fans. I will do my best not to disappoint you all, and give my best efforts to repay you with good acting.""

","2","97%"
"49","BTS sweeps all four Daesangs at the 'Mnet Asian Music Awards', the only award show they weren't invited to when they were a rookie"," olmal","BTS swept all four Daesangs (Grand Prizes) at the 'Mnet Asian Music Awards' for the second year in a row. 'Mnet Asian Music Awards' was the only award show they weren't invited to when they were a rookie. 



On December 6th, the '2020 Mnet Asian Music Awards' took place without an audience due to COVID-19 concerns. The popular idol group took home the Artist of the Year (Daesang) and Album of the Year (Daesang) with 'Map of the Soul: 7', and Song of the Year (Daesang) with ""Dynamite"". BTS also won the Worldwide Icon of the Year (Daesang), the Best Male Group, Best Performance, and the Best Music Video award. 

Eligible nominees released music from October 24, 2019, and October 28, 2020, and voting began on October 29 at 6 PM KST. Check out the full list of winners at 2020 MAMA here.



Congratulations to BTS! ","35","78%"
"50","JYP Entertainment confirms TWICE got tested after coming in close contact with Kim Chung Ha who tested positive for Covid-19"," olmal","TWICE got tested soon after Kim Chung Ha tested positive for COVID-19 and the girls are currently awaiting results. 



After Kim Chung Ha tested positive for COVID-19, JYP Entertainment confirmed that TWICE's Sana who recently had contact with Kim Chung Ha, other TWICE members, and staff members who had overlapping tracks with Sana had gotten tested right away. 



To prevent further spread, they are self-quarantining as they wait for results.

Stay tuned for updates on the situation.","25","90%"
"51","Fans get what they asked for as TWICE announces 'CRY FOR ME' pre-release"," AmieAmore","On December 7th, TWICE made a surprise announcement on their official Twitter saying the 'CRY FOR ME' pre-release is coming soon.



The group also stated the pre-release will be for ONCE, TWICE's fandom, making fans delighted and excited for TWICE's upcoming activities.



TWICE'CRY FOR ME'Pre-Release Coming Soon for ONCE#TWICE #트와이스 #CRYFORME

Fans took it to social media to share their joy as well as talk about the girl group's future activities.



THEY REALLY MADE US BEG HUH. BUT IT’S OKAY WE’RE WELL-FED

YESS THEY HEARD USSSS🔥❤ IM SO EXCITED HUHU I LOVE CRY FOR ME❤ pic.twitter.com/nGa4mtLuXF

WE DONT DESERVE YOU ALL 😭YOU ALL DESERVE THE UNIVERSE

Oh My God. Lol. They really listened to us. But yes, release it. Spoil us. Love us. We love you girls 😭

PRE RELEASE? SO THERE IS ANOTHER ALBUM?

i was thinking there’s gonna be a repackage for xmas bc it’s been a while since they did one","20","82%"
"52","Model Irene reveals her stunning beauty in a red dress"," AmieAmore","Model Irene revealed her sexy charms through her social media.



On December 7th, Irene posted photos from the 2020 Asia Model Festival with the caption, ""Such a big honor to host the 15th annual Asia model festival ♥ Thank you for having me!""



In the photos she posted, she is wearing a red dress that revealed one shoulder. She captured the attention as she boasted of a striking beauty as she participated in the award ceremony.



In particular, Irene wore a one-shoulder dress and showed off her modelesque figure impressing viewers through her sensuality.Meanwhile, Irene was recently appointed as the 'Online Dongdaemun Fashion Fair' public relations ambassador and has continued her active activities by releasing pictorials with Magazine W's December issue.","17","83%"
"53","Cellmate reveals shocking details of child sex offender Cho Doo Soon's actions that spur netizens to condemn his imminent release"," KayRosa","

[Content Warning: sexual assault, child abuse, violence]



A cellmate of the infamous child sex offender Cho Doo Soon shared his experience after spending a considerable amount of time with the individual in the same room.



According to an article on 'Money Today', a JTBC program visited the prison where Cho Doo Soon currently remains. During an interview with his cellmate, the producers found out that the infamous sex offender was in an extremely vigorous physical condition with increasing muscle mass and a high level of libido. As of this year, Cho Doo Soon is aged 68.



Despite his age-based senior status, Cho Doo Soon was revealed to be able to do 1,000 push-ups a day and that he masturbates after allegedly being ""affected by electromagnetic waves coming from the CCTV and TV.""



According to Dr. Shin Eui Jin, the doctor who is also in charge of the child victim's conditions, Cho is still dealing with an ""excessively high level of libido,"" and that what worries everyone is his capacity to ""overact"". Furthermore, his reference to the electromagnetic waves is considered to be a psychological justification for his sexual acts, based on Dr. Shin's observations.





Upon seeing this news, netizens expressed their disbelief that this prisoner would be soon released, even after being diagnosed with such abnormal conditions. In fact, the release date of Cho has been moved up a day; instead of the scheduled December 13, he will be officially released on the 12th. 



Some comments include:



""If he had received life imprisonment from the onset, then we wouldn't have had to deal with this problem in the first place.""

""I have a daughter, so this hits home. Shouldn't he at least be castrated?""

""I'm sure once he's out they are gonna protect his privacy, which means other people are still at risk. For whom does the law function?""

""I saw the program on JTBC and I couldn't believe that he was a normal human being. He even said that he wants to see the victim again in person.""



What do you think of this issue?

","26","89%"
"54","'Silver Quarantine Lady' becomes hot topic as '2020 MAMA' takes preventive measures against COVID19"," KayRosa","The 'Silver Quarantine Lady' of '2020 MAMA' is unexpectedly making headlines.



The '2020 MAMA', which took place in Seoul on December 6, has taken unforeseen methods in order to prevent the spread of COVID19. Although every award show has vowed to create a safe environment this year, the 'Mnet Asian Music Awards' has employed a completely new figure to exercise stricter protocols. 









Their method was to hire a disinfector, dressed in a silver bodysuit and covered from top to bottom with a face shield and a mask. It was difficult not to notice the figure, as the lady appeared center stage in between the awarding process. She carried the actual machine and disinfected the area around the podium, intervening before the presenters. 





2020 MAMA 시상식이 수상소감 후 방역하는 모습. 마스크 쓰거나 가림막 설치하는 게 낫지 않나? 소독약을 너무 가까운 거리에서 분사하면 호흡기로 다 들어가지 않나? 실루엣이 다 드러나도록 타이트한 의상을 꼭 입혀야 할 이유가 있나? 이런 식의 방역하는 시늉이 대체 무슨 의미가 있는지 모르겠다. pic.twitter.com/Cgxrq1KsTl



Although viewers were glad to see efforts being made, some scratched their heads in regards to the ""strange onesie"" and wondered if such outfit was necessary. Others also questioned whether the disinfecting machine was safe for the presenters and artists who would breathe in the air soon afterwards. Meanwhile, most figured that the act was probably harmless, while feeling ""sorry"" for the 'Silver Quarantine Lady' for having to wear such a tight suit.



Check out some comments below. What was your initial reaction to the now-legendary 'Quarantine Lady' of '2020 MAMA'?



""Can SHE breathe??""

""OMG i don't mind the bodysuit shape itself but the color...she looked like an aluminum wrap""

""There were times the 'MAMA' presenters wore all gold too""

""I understand they were trying make it look futuristic but maybe she should have just worn a full hazmat suit lol""

""She's from Mars""

""Was it a trophy concept?""

""She's like the 'MAMA' version of the Oscars trophy...""

""Yes, this is real K-prevention""

""I still like the way 'MAMA' was trying to show their sincerity in preventive measures""

""I was more interested in the silver lady than in the presenters lol""





","22","94%"
"55","Former 'I-Land' contestant Hanbin to perform as the pre-opening act of the '2021 New Year's Eve Live presented by Weverse'"," beansss","

Former 'I-Land' contestant Hanbin will be joining the lineup of the first ever '2021 New Year's Eve Live presented by Weverse'!



On December 9, BeLift Lab confirmed that Hanbin will be featured as the pre-opening act ahead of the main 'New Year's Eve Live' show. Tickets for the upcoming Big Hit Labels joint concert opened up back on December 8, with the online show set to take place this New Year's Eve, on December 31 starting at 9:30 PM KST. 



The '2021 New Year's Eve Live presented by Weverse' features performing artists including Lee Hyun, Bumzu, NU'EST, BTS, GFriend, TOMORROW x TOGETHER, ENHYPEN, as well as special guest appearances by Halsey, Lauv, and Steve Aoki. 



Are you planning on ringing in the New Year with Big Hit Labels artists?



<2021 NEW YEAR'S EVE LIVE presented by Weverse>에서 #한빈 이 프리오프닝 무대를 하니 많은 관심 부탁드립니다.#2021NYEL will feature #HANBIN for the preopening performance. Stay tuned!#2021NYEL で #HANBIN が披露するプレオープニング・ステージをお楽しみに！ https://t.co/qCrLZvjVi2","9","87%"
"56","Big Hit Labels's '2021 New Year's Eve Live' adds special guests Halsey, Lauv, & Steve Aoki"," beansss","

Pre-order tickets for the upcoming '2021 New Year's Eve Live presented by Weverse' have officially opened!



Pre-order tickets are available exclusively via the Weverse Shop from now until the show date, which will begin on December 31 at 9:30 PM KST. The first-ever joint year-end concert by Big Hit Labels artists, the '2021 New Year's Eve Live' features Lee Hyun, Bumzu, NU'EST, BTS, GFriend, TOMORROW x TOGETHER, ENHYPEN, as well as newly announced special guests - Halsey, Lauv, and Steve Aoki!



Make sure to tune in and celebrate the New Year with your favorite artists!



<2021 NEW YEAR’S EVE LIVE presented by Weverse>Online Live Streaming Ticket For Pre-order!📆Pre-order until 31 Dec, 11 PM (KST)🎤Concert starts on 31 Dec, 9:30 PM (KST)💡Ticket sale only on #WeverseShop👉https://t.co/Rzp9hbBZUF#2021NYEL #WEVE_CONNECTED pic.twitter.com/1hVwuiW9tv","22","65%"
"57","TWICE and staff test negative for COVID-19; Sana to remain quarantined until December 18"," danisurst","JYP Entertainment has revealed that all TWICE members and their staff have tested negative for COVID-19. However, it has been decided Sana will be taking a break from activities to self-quarantine.The agency released an official statement on the evening of December 7 KST, writing, ""According to the COVID-19 test results of the TWICE members, including Sana, and their manager, everyone has tested negative.""They then added that Sana will be following health guidelines and remain be quarantined through December 18. The other members will remain on schedule. While Sana has tested negative, it was previously confirmed that she had recently met with Kim Chung Ha, who became a confirmed COVID-19 case earlier that day.



Stay tuned for more news about TWICE's end-of-year schedule.","22","89%"
"58","Check out Winners of the 'Melon Music Awards 2020'"," germainej","The 'Melon Music Awards 2020' have announced the winners and top artists of the year.The awards show, which is in its 12th year, has established itself as one of the big four music awards ceremonies in South Korea alongside the 'Mnet Asian Music Awards', 'Golden Disk Awards', and 'Seoul Music Awards'. The 'Melon Music Awards' is noted for its emphasis on digital sales and public votes to determine its winners.This year's winning names were chosen from a pool of artists with the highest Melon chart scores for the year by combining online fan votes, digital sales, and judge scores. The main awards are decided by 20% online voting, 60% digital sales, and 20% judge scores; genre awards are decided by 30% online voting, 40% digital sales, and 30% judge score; popularity awards are decided by 60% online voting and 40% digital sales; and special awards are 100% decided by judges.Take a look at the full list of winners below, and check out day 1-2 and day 3 if you missed them.===



Best Artist of the Year (Daesang) | BTS

Best Album of the Year (Daesang) | BTS - 'Map of the Soul: 7'

Best Song of the Year (Daesang) BTS - ""Dynamite""

Best New Artist Award (Male) | CRAVITY

Best New Artist Award (Female) | Weeekly

Hot Trend Award | Men6

Netizen's Choice | BTS 

Songwriter Award | Young TakBest Performance | MONSTA X

Best Dance Award (Male) | BTS - ""Dynamite""

Best Dance Award (Female) | BLACKPINK - ""How You Like That""

Best Trot | Lim Young WoongBest Pop | Sam Smith - ""To Die For""Best Performance Director | Son Sung Deuk

1theK Original Contents | The Boyz

Top 10 Awards | Baek Ye Rin | EXO's Baekhyun | BLACKPINK | BTS | Lim Young Woong | IU | IZ*ONE | Kim Ho Joong | Oh My Girl | Block B's Zico===

[Winners from previous days]Best Ballad | DAVICHI - ""Dear""Best Rap/Hip Hop | DAMOIM (Yumdda, The Quiett, Deepflow, Simon D) - ""IMMADO""Best R&B/Soul | Baek Ye Rin - ""Square (2017)""Best Indie | Bolbbalgan4 - ""Leo"" feat. EXO's BaekhyunBest OST | Jo Jung Suk - ""Aloha""Best Rock | IU - ""Eight"" feat. BTS' SUGA===Congratulations to all the winners.","144","74%"
"59","Gallup Korea reveals rankings for the best comedians of 2020, voted by Korean survey participants"," beansss","

On December 10, Gallup Korea revealed a list of the most successful comedians from the past year, 2020!



From November 5-29, Gallup Korea conducted surveys across Korea, featuring 1,700 participants over 13 years old. Each survey participant was asked to selected up to two comedians/TV personalities who garnered the most attention in the past year for their variety activities. 



According to Gallup Korea's results, comedian Yoo Jae Suk took the #1 spot with an overwhelming 52.3% of all votes. In the past 14 years, Yoo Jae Suk has been selected as the #1 comedian/TV personality in this poll 12 times. 



2nd place went to female comedian Park Na Rae, coming in on her 3rd consecutive year as #2 in this poll. This year, Park Na Rae earned 20% of the overall votes. 



3rd place went to Kang Ho Dong with 18.9%, 4th place went to Lee Soo Geun with 10%, 5th place went to Shin Dong Yup with 8.4%, 6th place went to Jang Do Yeon with 4.4%, 7th place went to Lee Kyung Kyu with 4%, 8th place went to Lee Young Ja with 3.9%, 9th place went to Seo Jang Hoon with 3.4%, and 10th place went to Kim Gu Ra and Yang Se Hyung, both with 3.1%. 



Do you agree with the results?

","0","93%"
"60","NiziU achieves the second-highest sales for a girl group debut in Japan's Oricon chart"," AmieAmore","The nine-member Japanese girl group NiziU, which was introduced in collaboration with JYP Entertainment and Sony Music, made a splash in Japan upon their debut. The members are Japanese, but the selection and development process was carried out in a K-pop manner, which critics say is ""localizing the Korean Wave.""

NiziU's debut single ""Step and a Step,"" released on the 2nd of this month, is expected to top the weekly singles chart of Japan's famous Oricon music chart with more than 300,000 copies sold in the first week of its release. NiziU's album sales are the second-highest from a girl group's debut in Japanese pop music history.



 Last week, Tokyo Skytree, Tokyo's leading tourist destination, conducted a three-day Illumination with rainbow colors, the group's iconic color, celebrating NiziU's debut. Inside Shinjuku Station, Tokyo's leading downtown attraction was covered with posters of NiziU. NHK's 'Kōhaku Uta Gassen', an annual New Year's Eve television special with an average viewer rating of 40 percent, has decided to feature the girl group. In a recent column on Korea-Japan relations, Hitoshi Tanaka, a former foreign minister at the Foreign Ministry, described NiziU as a symbol of improving Korea-Japan relations.

NiziU was formed through an audition program conducted by JYP Entertainment, selecting nine Japanese girls to form a K-Pop group. Although the group members are all Japanese, they are trained using the Korean trainee system, forming a K-Pop style Japanese group. Some say that Japan is adapting the K-pop trainee system, which is known for strict training in dancing and singing, to create uniform synchronized dancing","11","84%"
"61","ARMYs request an official statement after Mnet leaves BTS' Jin out for two years in a row"," olmal","ARMYs are requesting an official statement after Mnet leaves BTS' Jin out for two years in a row in the group picture and the VCR at the 'Mnet Asian Music Awards'.



The award show took place on December 6th, and while introducing 10 '2020 Visionaries' Mnet broadcasted a BTS picture without member Jin which upset many fans. Shortly after the show, ARMYs called the Mnet production team out for their repeated mistake after leaving Jin out in the BTS video back in 2019. 



Fans and netizens reacted: ""2 years in a row. Only Jin. Unbelievable.""

""How could that be a 'mistake'? There are only 7 members""

""They edited the image and left out a certain member again? That's sus""

""lol typical Mnet bull**it""

""We need to know who was in charge and if it's the same person, that's not an innocent mistake""

""How can they leave Jin out? like every time? 

""I was so upset. I just turned it off immediately after seeing only 6 members"" 



After the feedback, Mnet added Jin to the group picture in a rerun. But fans are requesting an official apology from the broadcast network for the repeated mistake. ","19","78%"
"62","NCT and WayV member Hendery heavily criticized for cultural appropriation"," AmieAmore","Recently, NCT and WayV member Hendery has been under fire as fans and netizens criticized the photos he posted on his Weibo. 



In the photos, Hendery is seen wearing a wig with a Jamaican Rastafari inspired headband and fake dreads while he is riding in a car.



When the photos were uploaded, Hendery removed the photos from his Weibo soon after. However, netizens have already shared these photos on various social media outlets such as Twitter as more and more fans took offense to his photos.



Many fans have expressed their discomfort and anger as they posted various tweets about the NCT member making his name trend on Twitter. Many took to social media to attempt to educate Hendery about cultural appropriation as they felt this matter should not be dismissed so easily.



In all seriousness i do not hate hendery but his ass is well deserving of this dragging that he getting because, Like all other idols, we aint lettin this shit slide. Nct has our full support and keeps doing thiss hit without apologizing pic.twitter.com/oENpXBNKPz



yeah nah it’s getting buried and continuing to get buried, these are the pics of Hendery’s post on Weibo. Deleting is not an apology. Quit speaking over black fans ns. pic.twitter.com/RRu9NRHQac

You mean to tell me Hendery posted this mocking black hairstyles....and only deleted it because Chinese fans said it was “ugly”.......The stench of racism and anti blackness in here... pic.twitter.com/KUJOASLAUP



ok so why are nctizens clearing the searches under hendery?? stop dismissing something HE did. HE chose to cultural appropriate not only that but HE posted it on weibo. sm didn’t make him wear anything. hold your idols accountable stop dismissing shit pic.twitter.com/Rc5pTBDsp1

not dealing with nct anymore they have done CA too many times and disrespected cultures and religions so many times that I think atp they cannot learn from their actions and never apologized then hendery posted this then deleted it like??? was it was funny did u get a laugh??? pic.twitter.com/2aMRY0gqk6","670","76%"
